Title,Author,Description,Theme,Genre
Surfacing,MARGARET ATWOOD,"From the bestselling author of The Handmaid's Tale and The Testaments—this story of an artist who goes in search of her missing father on a remote island in northern Quebec is a provocative blend of literary mystery, psychological thriller, and spiritual journey. Accompanied by her boyfriend and a young married couple, the artist searches her abandoned childhood home for clues her parents may have left. But in the disorienting, transformative isolation of the wilderness, her friends’ marriage begins to crumble, sex becomes a catalyst for conflict, and violence and death lurk just beneath the surface. As her relentless probing leads to an electrifying confrontation with her own suppressed secrets, she rapidly descends into what could be either madness or the starkest self-knowledge. Margaret Atwood’s haunting masterpiece is permeated with suspense, complex with layered meanings, and written in brilliant, diamond-sharp prose.",American Literature & Classic Prose,Literary Classics
A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,""" ""All those years you tried your best to break me, and I'm still here. One day you'll see, I'm going to make something of myself."" These words were Dave Pelzer's declaration of independence to his mother, and they represented the ultimate act of self-reliance. Dave's father never intervened as his mother abused him with shocking brutality, denying him food and clothing, torturing him in any way she could imagine. This was the woman who told her son she could kill him any time she wanted to--and nearly did. The more than two million readers of Pelzer's New York Times and international bestselling memoirs know that he lived to tell his courageous story. With stunning generosity of spirit, Dave Pelzer invites readers on his journey to discover how he turned shame into pride and rejection into acceptance.""--Amazon.",Humor and Satire,Humor & Satire
The Passion of Artemisia,Susan Vreeland,"A novel set against the backdrops of Rome, Florence, and Genoa recreates the life of Artemisia Gentileschi, whose search for love, forgiveness, and wholeness through her art led to her fame as a painter.",Russian Literature,Literary Classics
Immortal Poems of the English Language,Oscar Williams,"A timeless and comprehensive anthology of enduring English language poetry, featuring entries from 150 British and American poets, including Alexander Pope, Lord Byron, Edna St. Vincent Millay, and Emily Dickinson. The last six hundred years in British and American literature have given us some of the most moving and memorable poems in all literature. Now, discover many of these same works in one gorgeously wrought collection, featuring entries from poets as legendary and beloved as Elizabeth Barrett Browning, John Keats, Rudyard Kipling, Ralph Waldo Emerson, D.H. Lawrence, and many more. From Lewis Carroll’s “Jabberywocky” to Robert Frost’s “The Road Not Taken” and from Shakespeare’s sonnets to anonymous classics, this is the ultimate gift for poetry lovers of all ages and backgrounds. Arranged chronologically, the 150 poems featured in this stunning collection reflect the immortality of the poetic soul.",American Literature & Classic Prose,Literary Classics
The National Parks : A Postcard Folio Book,Ansel Adams,"The third in a series of postcard books which feature the work of Ansel Adams. This book concentrates on the images of Yosemite, the Rockies, the Grand Canyon, Yellowstone and Mount Rainer.",American Literature & Classic Prose,Literary Classics
Hoot (Newbery Honor Book),CARL HIAASEN,"Roy, who is new to his small Florida community, becomes involved in another boy's attempt to save a colony of burrowing owls from a proposed construction site.",Family Dynamics and Loss,Romance & Relationships
The List of 7,Mark Frost,"The List of Seven is a 1993 novel by Mark Frost. Though initially an occult murder mystery, the story brings in conspiracy theory, vendetta, horror, history, and Theosophy. The main character, Sir Arthur Conan Doyle, is a real historical person (albeit engaging in fictional actions) and several other historical figures appear in the story. Mark Frost followed the book with a sequel in 1995, The Six Messiahs.

",Epic Fantasy,Fantasy Literature
All I Really Need to Know I Learned in Kindergarten: Uncommon Thoughts on Common Things,Robert Fulghum,A book to raise the spirits and warm the heart. Includes the famous Kindergarten essay that was read on the floor of the U.S. Senate.,Spiritual & Mindfulness,Spiritual & Mindfulness
God Save the Child,Robert B. Parker,"New York Times bestselling author of the Spenser series of crime thrillers - Book 2 in the series - Appie Knoll is the kind of suburb where kids grow up right. But something is wrong. Fourteen-year-old Kevin Bartlett disappears. Everyone thinks he's run away -- until the comic strip ransom note arrives. It doesn't take Spenser long to get the picture -- an affluent family seething with rage, a desperate boy making strange friends...friends like Vic Harroway, body builder. Mr. Muscle is Spenser's only lead and he isn't talking...except with his fists. But when push comes to shove, when a boy's life is on the line, Spenser can speak that language too. ""A brillant, and cynical, comic tragedy or tragic comedy of manners. Long may Parker wave."" -- Los Angeles Times",Crime Thrillers and Detective Drama,Crime & Detective Fiction
The Godwulf Manuscript,Robert B. Parker,"New York Times bestselling author of the Spenser series of crime thrillers—Book 1 in the series “The toughest, funniest, wisest, private eye in the field these days.”—Houston Chronicle Spenser earned his degree in the school of hard knocks, so he is ready when a Boston university hires him to recover a rare, stolen manuscript. He is hardly surpised that his only clue is a radical student with four bullets in his chest. The cops are ready to throw the book at the pretty blond coed whose prints are all over the murder weapon but Spenser knows there are no easy answers. He tackles some very heavy homework and knows that if he doesn't finish his assignment soon, he could end up marked “D”—for dead.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
The Firm,John Grisham,A young lawyer works undercover for the F.B.I. to reveal his firm's Mafia connection.,Crime Thrillers and Detective Drama,Crime & Detective Fiction
Holes,LOUIS SACHAR,"A cloth bag containing ten copies of the title, that may also include a folder with miscellaneous notes, discussion questions, biographical information, and reading lists to assist book group discussion leaders.",Culinary Arts,Culinary Arts
Tourist Season,Carl Hiaasen,Terrorism.,Espionage Thriller,Action & Psychological Thrillers
Presumed Innocent,Scott Turow,"Scott Turow's #1 runaway bestseller comes to theaters everywhere as a major motion picture from Warner Bros., starring Harrison Ford, Brian Dennehy, Raul Julia, and Bonnie Bedelia, directed by Alan Pakula, best known for his award-winning work in ""Klute"".",Historical Time-Travel Romance,Romance & Relationships
Basket Case,Carl Hiaasen,"Once a hotshot investigative reporter, Jack Tagger now bangs out obituaries for a South Florida daily, ""plotting to resurrect my career by yoking my byline to some famous stiff."" Jimmy Stoma, the infamous front man of Jimmy and the Slut Puppies, dead in a fishy-smelling scuba ""accident"" may be just the stiff Jack needs-if only he can figure out what happened. Standing in the way are [among others] an editor who wants Jack to ""break her cherry,"" Stoma's ambitious pop-singer widow, and the soulless, profit-hungry newspaper owner Jack once publicly humiliated. As clues from Stoma's music give Jack Tagger the chance to trade obits for a story that could hit the front page, murder gives his career a new lease on life.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Why Girls Are Weird : A Novel,Pamela Ribon,"She was just writing a story. When Anna Koval decides to creatively kill time at her library job in Austin by teaching herself HTML and posting partially fabricated stories about her life on the Internet, she hardly imagines anyone besides her friend Dale is going to read them. He's been bugging her to start writing again since her breakup with Ian over a year ago. And so what if the ""Anna K"" persona in Anna's online journal has a fabulous boyfriend named Ian? It's not like the real Ian will ever find out about it. The story started writing itself. Almost instantly Anna K starts getting e-mail from adoring fans that read her daily postings religiously. One devotee, Tess, seems intent on becoming Anna K's real-life best friend and another, a male admirer who goes by the name of ""Ldobler,"" sounds like he'd want to date Anna K if she didn't already have a boyfriend. Meanwhile, the real Anna can't help but wonder if her newfound fans like her or the alter ego she's created. It's only a matter of time before fact and fiction collide and force Anna to decide not only who she wants to be with, but who she wants to be.",Murder Mystery,Crime & Detective Fiction
How to Be Good,Nick Hornby,"A wise and hilarious novel morality and what it means to be a ""goof person"" from the bestselling author of Dickens and Prince, Just Like you, Funny Girl and High Fidelity. A brutally truthful, compassionate novel about the heart, mind, and soul of a woman who, confronted by her husband’s sudden and extreme spiritual conversion, is forced to learn “how to be good”—whatever that means, and for better or worse… Katie Carr is a good person…sort of. For years her husband’s been selfish, sarcastic, and underemployed. But now David’s changed. He’s become a good person, too—really good. He’s found a spiritual leader. He has become kind, soft-spoken, and earnest. Katie isn’t sure if this is deeply felt conversion, a brain tumor—or David’s most brilliantly vicious manipulation yet. Because she’s finding it more and more difficult to live with David—and with herself.",Relationships and Family Dynamics,Romance & Relationships
"Queen of Sorcery (The Belgariad, Book 2)",David Eddings,The master Sorcerer Belgarath and his daughter are on the trail of the stolen Orb.,Wizarding World,Fantasy Literature
Jurassic Park,Michael Crichton,"An American bioengineering research firm erects a theme park on a Caribbean island, complete with living dinosaurs, and invites a group of scientists to be its first terrified guests.",Space Adventure,Science Fiction
Seduction in Death,J. D. Robb,"From #1 New York Times bestselling author J. D. Robb comes a tantalizing novel in the futuristic In Death series, as Detective Eve Dallas searches for a Casanova killer with a deadly appetite for seduction... Dante had been courting his victim in cyberspace for weeks before meeting her in person. A few sips of wine and a few hours later, she was dead. The murder weapon: a rare, usually undetectable date-rape drug with a street value of a quarter million dollars. Detective Eve Dallas is playing and replaying the clues in her mind. The candlelight, the music, the rose petals strewn across the bed—a seduction meant for his benefit, not hers. He hadn’t intended to kill her. But now that he had, he is left with only two choices: to either hole up in fear and guilt. Or start hunting again…",Murder Mystery,Crime & Detective Fiction
A Wrinkle in Time,Madeleine L'Engle,"A midnight visitor escorts Meg, Calvin, and Charles across the barriers of space and time to another world.",Space Adventure,Science Fiction
Jaws,Peter Benchley,Story about what happens when a great white shark terrorizes a small Long Island town.,Galactic Adventures,Science Fiction
"Fool Moon (The Dresden Files, Book 2)",Jim Butcher,"“One of the most enjoyable marriages of the fantasy and mystery genres on the shelves,”(Cinescape) the Dresden Files have become synonymous with action-packed urban fantasy and nonstop fun. Fool Moon continues the adventures of Jim Butcher’s most famous—and infamous—reluctant hero… You’d think there’d be a little more action for the only professional wizard listed in the Chicago phone book. But lately, Harry Dresden hasn’t been able to dredge up any kind of work: magical, mundane, or menial. Just when it looks like he can’t afford his next meal, a murder comes along that requires his particular brand of supernatural expertise. There’s a brutally mutilated corpse, and monstrous animal markings at the scene. Not to mention that the killing took place on the night of a full moon. Harry knows exactly where this case is headed. Take three guesses—and the first two don’t count...",Gothic Vampire Fiction,Fantasy Literature
The Cat Who Could Read Backwards,Lilian Jackson Braun,"THE FIRST COZY MYSTERY IN THE BELOVED NEW YORK TIMES BESTSELLING CAT WHO SERIES! The world of modern art is a mystery to many. But for Jim Qwilleran, it turns into a mystery of another sort when his assignment for The Daily Fluxion leads down the path to murder. A stabbing in an art gallery, vandalized paintings, a fatal fall from a scaffolding—this is not at all what Qwilleran expects when he turns his reporter talents to art. But Qwilleran and his newly found partner, Koko the brilliant Siamese cat, are in their element—sniffing out clues and confounding criminals intent on mayhem and murder. This riveting beginning to the Cat Who series is the perfect cozy mystery for cat lovers to start sleuthing!",Cozy Mysteries,Action & Psychological Thrillers
Wizard of Earthsea,Ursula K. Le Guin,"In print for more than three decades and translated into dozens of languages, here is the audio release of the first book in The Earthsea Trilogy. This is a tale of wizards, dragons, and shadows, played in an archipelago of imagined islands. The young boy Sparrowhawk becomes apprentice to a Master Wizard; but impatience to learn faster takes him far from home to Roke Island, where he enters the School for Wizards. As a student of magic, Sparrowhawk exceeds his years in accomplishment, but pride and jealousy drive the boy to try certain dangerous powers too soon. A terrible evil is let loose in the land.",Epic Fantasy,Fantasy Literature
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,"The prosecutor of the Tate-LaBianca trials presents the inside story behind the Manson killings, explaining how Charles Manson was able to make his ""family"" murder for him, chronicling the investigation, and describing the court trial that brought him and",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Contact,Carl Sagan,"In December, 1999, a multinational team journeys out to the stars, to the most awesome encounter in human history. Who -- or what -- is out there? In Cosmos, Carl Sagan explained the universe. In Contact, he predicts its future -- and our own.",Space Adventure,Science Fiction
Winter's Tale,Mark Helprin,"A breathtaking novel by the author of ""A Soldier of the Great War,"" this is a book about the beauty and complexity of the human soul, about God, love, and justice. Copyright © Libri GmbH. All rights reserved.",Gothic Vampire Fiction,Fantasy Literature
Wheels Of Fire (Serrated Edge 2),Mercedes Lackey,"It's hot cars, lost boys, and Elves to the rescue in this sizzling new fantasy from bestselling author Mercedes Lackey and computer-operator Mark Shepherd. When a boy is kidnapped from his mother by her ex-husband, he becomes the prisoner of a radical cult. His mother gives up her job and home to search for him, but the only way she'll find him is with the help of a fun-loving, hard-driving elf.",Holiday Classics,Holiday Stories
All I Really Need to Know,ROBERT FULGHUM,"A modern classic, and a phenomenal bestseller, this simple collection of thoughts and gentle opinion has struck a deep chord in readers all over the world. Observing our times in his unique way, Robert Fulghum has tapped into the community that we all share and tells us something about ourselves and how to be the best we are capable of. He reminds us to share, clean up our own mess, take a nap every afternoon, and to be aware of wonder. ""Within simplicity lies the sublime."" SAN FRANCISCO CHRONICLE ""A healthy antidote to the horrors that pummel us in this dicey age."" THE BALTIMORE SUN",Humor and Satire,Humor & Satire
Damia (Ace Science Fiction),Anne McCaffrey,"New York Times bestselling fantasy author Anne McCaffrey “interweaves an engrossing romance with a coming-of-age story”(Publishers Weekly) in this novel in the Tower and Hive series. Damia is the daughter of Prime Talents The Rowan and Jeff Raven. Her own telepathic and telekinetic abilities manifested at an early age, unimaginable powers even greater than her parents’, challenging to wield much less control. As willful as her mother ever was, Damia defies her family’s attempts to tame and train her—only to bond with Afra Lyon, a Talent who serves The Rowan, and who becomes the object of her affection. When she comes of age, Damia learns that a Prime of her capabilities and temperament has no time for love. Assigned to serve the farthest human colonized world from Earth, Damia leads a lonely existence until she telepathically connects with an alien presence in another galaxy—a potential threat not only to Damia, but to the love Afra wants to share with her...",Gothic Vampire Fiction,Fantasy Literature
She Who Remembers,Linda Lay Shuler,The story of a beautiful woman born in the American southwest long before Columbus whose blue eyes marked her as a witch and set her apart from the Indian tribe that raised her.,Spiritual & Mindfulness,Spiritual & Mindfulness
Voice of the Eagle,Linda Lay Shuler,"In the sequel to She Who Remembers, Kwani returns to the Cicuye village as the wife of Tolonqua, a hunting chief in the 13th century.",Russian Literature,Literary Classics
The Door to December,Dean R. Koontz,"#1 New York Times bestselling author Dean Koontz takes readers into the darkest recesses of the human mind—and into the tempest of a father's obsession. A call in the middle of the night summoned psychiatrist Laura McCaffrey out into the rain-swept streets of Los Angeles. The police had found her husband-beaten to death. But what of her daughter, Melanie, whom he had kidnapped six years earlier? At the brutal murder scene, the police lead Laura into her husband's makeshift lab—and open the door to a rising tide of terror that has trapped Melanie in its midst...",Crime Thrillers and Detective Drama,Crime & Detective Fiction
The Clan of the Cave Bear : a novel,Jean M. Auel,A Cro-Magnon girl orphaned in an earthquake is raised by a Neanderthal clan.,Space Adventure,Science Fiction
The Testament,John Grisham,"Heart of darkness... In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions, a message that will touch off a vicious legal battle and transform dozens of lives. Because Troy Phelan's new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil. Enter the lawyers. Nate O'Riley is fresh out of rehab, a disgraced corporate attorney handpicked for his last job: to find Rachel Lane at any cost. As Phelan's family circles like vultures in D.C., Nate is crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman--pursued by enemies and friends alike--holds a stunning surprise of her own....",Murder Mystery,Crime & Detective Fiction
Star Wars: The Truce at Bakura (Star Wars (Random House Paperback)),Kathy Tyers,"No sooner has Darth Vader's funeral pyre burned to ashes on Endor than the Alliance intercepts a call for help from a far-flung Imperial outpost. Bakura is on the edge of known space and the first to meet the Ssi-ruuk, cold-blooded reptilian invaders who, once allied with the now dead Emperor, are approaching Imperial space with only one goal; total domination. Princess Leia sees the mission as an opportunity to achieve a diplomatic victory for the Alliance. But it assumes even greater importance when a vision of Obi-Wan Kenobi appears to Luke Skywalker with the message that he must go to Bakura-or risk losing everything the Rebels have fought so desperately to achieve.",Galactic Adventures,Science Fiction
Primary Colors: A Novel of Politics,Anonymous,"A brilliant and penetrating look behind the scenes of modern American politics, Primary Colors is a funny, wise, and dramatic story with characters and events that resemble some familiar, real-life figures. When a former congressional aide becomes part of the staff of the governor of a small Southern state, he watches in horror, admiration, and amazement, as the governor mixes calculation and sincerity in his not-so-above-board campaign for the presidency.",Humor and Satire,Humor & Satire
Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,An epic adventure set in the year 3000 when the future of the human race is at stake.,Space Adventure,Science Fiction
Chromosome 6,Robin Cook,"“Master of the medical thriller.”—The New York Times In his most prophetic thriller yet, Robin Cook goes behind the headlines on cloning and genetic manipulation, blending fact with fiction in this terrifying bestseller. In the jungles of equatorial Africa, a biotechnology giant has taken transplant surgery and animal research to a new level—where one mistake could bridge the evolutionary gap between man and ape and forever change the genetic map of our existence. Meanwhile, in New York City, Jack Stapleton and Laurie Montgomery are working on a seemingly unrelated murder of a mobster, only to find some very odd things once their victim is on the autopsy table...",Espionage Thriller,Action & Psychological Thrillers
A Bend in the Road,Nicholas Sparks,"Devastated by the death of his wife in a hit-and-run accident, Miles, deputy sheriff of New Bern, North Carolina, and a single father, discovers new meaning in his life when he meets Sarah Andrews, a woman struggling to rebuild her own life, but a devastating secret could tear them apart forever. 1,250,000 first printing.",Relationships and Family Dynamics,Romance & Relationships
Midnight Voices,JOHN SAUL,"The sudden, tragic death of her husband leaves Caroline Evans alone in New York City to raise her children with little money and even less hope. When she meets and marries handsome, successful Anthony Fleming, the charismatic man of her dreams, she believes her life is destined for happiness. She and her children move into her new husband’s spacious apartment in the legendary Rockwell on Central Park West. Despite her son’s instinctive misgivings about the building and its residents, Caroline dismisses the odd behavior of her neighbors as pleasant eccentricities. But after her daughter begins to experience horrifying nightmares and a startling secret emerges, Caroline realizes that the magnificence of her new home masks a secret of unimaginable horror. . . .",Relationships and Family Dynamics,Romance & Relationships
"Last Dance, Last Chance (Ann Rule's Crime Files)",Ann Rule,"“America’s best true-crime writer” (Kirkus Reviews) presents an all-new collection of crime stories drawn from her private files and featuring the riveting case of a fraudulent doctor whose lifelong deceptions had deadly consequences. Dr. Anthony Pignataro was a cosmetic surgeon and a famed medical researcher whose flashy red Lamborghini and flamboyant lifestyle in western New York State suggested a highly successful career. But appearances can be deceiving—and, for the doctor’s wife, very nearly deadly. Now, the motivations of the classic sociopath are plumbed with chilling accuracy by Ann Rule. Along with other shocking true cases, this worldwide headline-making case will have you turning pages in disbelief that a trusted medical professional could sink to the depths of greed, manipulation, and self-aggrandizement where even slow, deliberate murder is not seen for what it truly is: pure evil.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Ella Enchanted (Trophy Newbery),Gail Carson Levine,"How can a fairy's blessing be such a curse? At her birth, Ella of Frell was the unfortunate recipient of a foolish fairy's gift -- the ""gift' of obedience. Ella must obey any order given to her, whether it's hopping on one foot for a day and a half, or chopping off her own head! But strong-willed Ella does not tamely accept her fate. Against a bold backdrop of princes, ogres, giants, wicked stepsisters, and fairy godmothers, Ella goes on a quest to break the curse -- once and for all. In this incredible debut novel comes the richly entertaining story of Ella of Frell, who at birth was given the gift of obedience by a fairy. Ella soon realizes that this gift is little better than a curse, for how can she truly be herself if at anytime anyone can order her to hop on one foot, or cut off her hand, or betray her kingdom'and she'll have to obey? Against a bold tapestry of princes, ogres, giants, wicked stepsisters, and fairy godmothers, Ella's quest to break the curse once and for all and discover who she really is is as sharply funny as Catherine, Called Birdy and as richly poignant as Beauty, and has all the marks of a classic in the making.",Arthurian Legends and Magic,Fantasy Literature
"Politically, Fashionably, and Aerodynamically Incorrect: The First Outland Collection",Berkeley Breathed,"the Sunday spinoff of """"Bloom County,"""" introduces uninitiated readers to such new Breathed creations as Rosebud the Basselope and Milquetoast the cross-dressing cockroach. 150,000 first printing. $50,000 ad/promo.",Cozy Mysteries,Action & Psychological Thrillers
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,"Accompanied by her daemon, Lyra Belacqua sets out to prevent her best friend and other kidnapped children from becoming the subject of gruesome experiments in the Far North.",Wizarding World,Fantasy Literature
The Blue Sword,Robin McKinley,"Originally published: New York: Greenwillow Books, 1982.",American Literature & Classic Prose,Literary Classics
Yukon Ho!,Bill Watterson,A collection of comic strips following the adventures of Calvin and his stuffed tiger Hobbes.,Humor and Satire,Humor & Satire
Weirdos From Another Planet!,Bill Watterson,"Presents a collection of ""Calvin and Hobbes"" cartoons.",Humor and Satire,Humor & Satire
Valley Of The Far Side,Gary Larson,The fifth in the series of best-selling collections of the syndicated cartoon that's sold more than two million books!,Epic Fantasy,Fantasy Literature
The Screwtape Letters,C. S. Lewis,"In this humorous and perceptive exchange between two devils, C. S. Lewis delves into moral questions about good vs. evil, temptation, repentance, and grace. Through this wonderful tale, the reader emerges with a better understanding of what it means to live a faithful life.",Spiritual & Mindfulness,Spiritual & Mindfulness
Getting Over It,Anna Maxted,"Helen Bradshaw isn't exactly living out her dreams. She's a lowly assistant editor at GirlTime magazine, she drives an ancient Toyota, and she has a history of choosing men who fall several thousand feet below acceptable boyfriend standard. Not to mention that she shares an apartment with a scruffy , tactless roommate, her best girlfriends are a little too perfect, and the most affectionate male in her life—her cat, Fatboy—occasionally pees in her underwear draw. Then Helen gets the telephone call she least expects: Her father has had a massive heart attack. Initially brushing off his death as merely an interruption in her already chaotic life (they were never very close, after all), Helen is surprised to find everything else starting to crumble around her. Her pushy mother is coming apart at the seams, a close friend might be heading toward tragedy, and, after the tequila incident, it looks as though Tom the vet will be sticking with Dalmatians. Turns out getting over it isn't going to be quite as easy as she thought.",Relationships and Family Dynamics,Romance & Relationships
Walk Two Moons,Sharon Creech,"""How about a story? Spin us a yarn."" Instantly, Phoebe Winterbottom came to mind. ""I could tell you an extensively strange story,"" I warned. ""Oh, good!"" Gram said. ""Delicious!"" And that is how I happened to tell them about Phoebe, her disappearing mother, and the lunatic. As Sal entertains her grandparents with Phoebe's outrageous story, her own story begins to unfold--the story of a thirteen-year-old girl whose only wish is to be reunited with her missing mother. In her own award-winning style, Sharon Creech intricately weaves together two tales, one funny, one bittersweet, to create a heartwarming, compelling, and utterly moving story of love, loss, and the complexity of human emotion.",Relationships and Family Dynamics,Romance & Relationships
"Princess in the Spotlight (The Princess Diaries, Vol. 2)",Meg Cabot,"Just when Mia thinks life will be back to normal (as normal as life can get for the Princess of Genovia), her indomitable ""grandmere"" schedules a national TV interview for Mia and her mother is having her algebra teacher's baby.",Relationships and Family Dynamics,Romance & Relationships
Bachelor Brothers' Bed &amp; Breakfast,Bill Richardson,"Middle age twins, Hector and Virgil, operate a bed & breakfast establishment located in Canada. They inspire guests and people of the community with their intellectual humor and books.",Humor and Satire,Humor & Satire
The Diary of Mattie Spenser,Sandra Dallas,"Unexpectedly married to the man considered the catch of her hometown, a young woman finds herself traveling via covered wagon to Colorado in search of a new start, with only her reticent husband and her personal journal to keep her company",Relationships and Family Dynamics,Romance & Relationships
See Jane Date (Red Dress Ink (Paperback)),Melissa Senate,Debut. Contemporary relationships. Humour.,Humor and Satire,Humor & Satire
The Matzo Ball Heiress (Red Dress Ink),Laurie Gwen Shapiro,"The heiress to the world's largest matzo company plans to televise the family's Passover seder for publicity--despite the fact that her family has never celebrated. Having cast her ""family,"" a surprise visit from her parents could blow everything.",Relationships and Family Dynamics,Romance & Relationships
Otherwise Engaged,Suzanne Finnamore,"Otherwise Engaged is Suzanne Finnamore's wickedly funny account of an intelligent, rational woman's transformation into the harpy of anxieties that is the bride-to-be. When Michael pops the question, Eve is deliriously happy. She tells grocery clerks. She subscribes to bridal magazines. She delights in the rainbows that shower from the one-carat (okay, .81-carat) ring on her hand. For two days. As the cumulative stresses of ordering invitations, finding a dress, and organizing the Perfect Honeymoon fry Eve's nerves, the very real prospect of being with one man for the rest of her days reverberates through her consciousness like a Chinese gong. Suddenly the sight of Michael's discarded socks on the floor and his passing mentions of his former live-in French girlfriend incite doubt, argument, and public fainting. Uproarious, insightful, tender, Otherwise Engaged dashes our soap-bubble fantasies in favor of a hilariously realistic walk to the alter.",Murder Mystery,Crime & Detective Fiction
Letters from a Nut,Ted L. Nancy,"Who is Ted L. Nancy? He's a concerned hotel guest searching for a lost tooth... He's a superstitious Vegas high-roller who wants to gamble at a casino in his lucky shrimp outfit... He's the genius inventor of ""Six Day Underwear""... He's a demanding dramatist seeking an audience for his play about his 26-year-old dog, Cinnamon... He's the proud owner of Charles, a 36-year-old cat who owes his longevity to a pet food company... He's a loyal fan of the King of Tonga... He is, in reality, a twisted prankster -- a supremely off-kilter alter ego who sends patently ridiculous letters and queries to (and receives surprisingly earnest responses back from) corporate honchos, entertainment conglomerates, national publications, politicians, celebrities and heads of state to everyone, in fact, from the president of the Bon Ami Cleanser Company to U.S. Vice President Al Gore. Letters From A Nut is an insanely inspired, truly madcap collection of Nancy correspondence, a laugh-out-loud-in-public-places aggregation of official -- and officially certifiable -- requests, complaints, fan mail and questions that could not possibly have been taken seriously...but, amazingly, were! Dear Mr. Nancy:""It is not often that we receive such enthusiastic support for the paper bag."" --The Paper Bag Council ""On behalf of Greyhound, there should be no problem traveling while in your butter costume."" --Greyhound Bus Lines ""I look forward to working with you to create a better future for this great nation."" -- Vice President Al Gore ""An unending stream of some of the most hilarious exchanges I've ever read. Everyone I lent this book to just read it and laughed out loud like I did. It's so simple, yet totally inventive. I'm sure some sort of mail fraud charges could be brought to stop this man but, personally, I hope they never catch him."" --Jerry Seinfeld",Humor and Satire,Humor & Satire
Ella Minnow Pea: A Novel in Letters,Mark Dunn,"A hilarious and moving story of one girl’s fight for freedom of expression, as well as a linguistic tour de force sure to delight word lovers everywhere Ella Minnow Pea is a girl living happily on the fictional island of Nollop off the coast of South Carolina. Nollop was named after Nevin Nollop, author of the immortal phrase containing all the letters of the alphabet, “The quick brown fox jumps over the lazy dog.” Now Ella finds herself acting to save her friends, family, and fellow citizens from the encroaching totalitarianism of the island’s Council, which has banned the use of certain letters of the alphabet as they fall from a memorial statue of Nevin Nollop. As the letters progressively drop from the statue they also disappear from the novel. The result is ""a love letter to alphabetarians and logomaniacs everywhere"" (Myla Goldberg, bestselling author of Bee Season).",Relationships and Family Dynamics,Romance & Relationships
Frozen Summer,Mary Jane Auch,"During a cold, hard summer Mem and her family battle frosts, sickness, chores and then a disappearance during the storm.",Medical Thrillers,Action & Psychological Thrillers
Anne of Windy Poplars (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,Anne Shirley has left Redmond College behind to begin a new job and a new chapter of her life away from Green Gables. Now she faces a new challenge: the Pringles. They,Historical Time-Travel Romance,Romance & Relationships
Emily of New Moon,L.M. MONTGOMERY,"From the author of Anne of Green Gables, the first book of the beloved Emily trilogy—recently seen on Netflix’s hit show Russian Doll! Emily Starr never knew what it was to be lonely—until her beloved father died. Now Emily's an orphan, and her snobbish relatives are taking her to live with them at New Moon Farm. Although she's sure she'll never be happy there, Emily deals with her stern aunt Elizabeth and her malicious classmates by using her quick wit and holding her head high. In this first volume of the celebrated Emily trilogy, Lucy Maud Montgomery draws a more realistic portrait of a young orphan girl's life on early twentieth-century Prince Edward Island. Along with Emily Climbs and Emily’s Quest, Emily of New Moon insightfully portrays the beauty and anguish of growing up.",Historical Time-Travel Romance,Romance & Relationships
Emily's Quest,L.M. MONTGOMERY,"""Published by arrangement with Harper & Row, Inc.""--T.p. verso.",American Literature & Classic Prose,Literary Classics
Because of Winn-Dixie,Kate Dicamillo,"Ten-year-old India Opal Buloni describes her first summer in the town of Naomi, Florida, and all the good things that happen to her because of her big ugly dog Winn-Dixie.",Relationships and Family Dynamics,Romance & Relationships
Crazy Ladies,Michael Lee West,"From Tennessee to New Orleans, from hippie Haight-Ashbury to a remote desert ranch, here is a novel full of love and laughter, pain and redemption, told in the women's voices of one special family, that are as rich and recognizable as our own. Living large and hanging tough, they teach us the lessons we knew we were missing....",Relationships and Family Dynamics,Romance & Relationships
The Elusive Flame,Kathleen E. Woodiwiss,"The Flame and the Flower (published 1972) is the debut work of romance novelist Kathleen E. Woodiwiss.  The first modern ""bodice ripper"" romance novel, the book revolutionized the historical romance genre. It was also the first full-length romance novel to be published first in paperback rather than hardback.",American Literature & Classic Prose,Literary Classics
